SLNO,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,LOB,Location,Age,Status
4575,2469319,No,71,45,E2,93.55,35.48,-30,No,No,Male,Employee Referral,8,ERS,Chennai,32,0
4584,2469647,Yes,7,60,E3,0,0,0,No,No,Male,Employee Referral,12,ETS,Noida,39,0
4596,2473917,Yes,2,30,E1,97.74,83.62,-7.14,No,No,Male,Direct,4,ERS,Chennai,27,0
4599,2474088,No,9,60,E1,42.86,28.57,-10,No,No,Male,Direct,3,BFSI,Chennai,28,0
4604,2474153,No,2,30,E1,30.61,23.57,-5.39,No,No,Male,Direct,3,ETS,Chennai,25,0
4611,2474380,No,9,30,E2,40.35,40.35,0,No,No,Male,Agency,5,INFRA,Chennai,27,0
4613,2474402,Yes,18,60,E1,80.72,80.72,0,No,No,Male,Direct,3,CSMP,Hyderabad,26,0
4623,2474574,Yes,130,90,E1,42.86,28.57,-10,No,No,Male,Direct,3,BFSI,Chennai,26,0
4630,2474601,No,8,60,E1,30,12.42,-13.52,No,No,Male,Direct,4,BFSI,Bangalore,29,0
4640,2474726,No,101,60,E1,13.27,16.02,2.43,No,No,Male,Direct,5,BFSI,Bangalore,29,0
4650,2475006,No,20,60,E1,85.71,47.14,-20.77,No,No,Male,Direct,3,BFSI,Chennai,27,0
4658,2478101,No,59,45,E3,15.56,0,-13.46,Yes,No,Female,Agency,13,ETS,Bangalore,38,0
4661,2478300,No,6,30,E1,6.67,6.67,0,No,No,Male,Employee Referral,6,BFSI,Bangalore,29,0
4673,2478612,Yes,62,60,E1,37.25,37.25,0,No,No,Male,Agency,5,BFSI,Bangalore,33,0
4674,2478640,No,6,60,E1,22.22,61.33,32,No,No,Male,Agency,5,ERS,Noida,31,0
4685,2478843,Yes,71,30,E1,41.67,33.33,-5.88,No,No,Male,Agency,4,ERS,Chennai,28,0
4691,2478957,No,2,60,E2,42.86,28.57,-10,No,No,Female,Direct,6,CSMP,Chennai,31,0
4695,2479011,No,92,60,E1,47.73,47.73,0,No,No,Male,Direct,3,BFSI,Chennai,31,0
4696,2479013,No,15,30,E1,65.63,65.63,0,No,No,Male,Agency,3,BFSI,Bangalore,25,0
4698,2479053,Yes,53,60,E1,47.78,25.62,-15,No,No,Male,Agency,3,BFSI,Bangalore,26,0
4707,2479162,Yes,89,90,E1,71.67,50.21,-12.5,No,No,Male,Direct,3,EAS,Hyderabad,27,0
4716,2480963,No,4,60,E1,105.13,56.7,-23.61,No,No,Male,Direct,4,BFSI,Chennai,27,0
4727,2481066,Yes,52,30,E1,52.78,41.67,-7.27,No,No,Male,Agency,3,BFSI,Bangalore,30,0
4733,2481316,No,7,60,E1,63.64,30.91,-20,No,No,Male,Direct,7,BFSI,Chennai,30,0
4742,2483059,Yes,9,30,E2,64.71,52.94,-7.14,No,No,Male,Agency,6,BFSI,Bangalore,31,0
4744,2483075,No,0,30,E2,33.33,33.33,0,No,No,Male,Agency,7,INFRA,Noida,29,0
4746,2483082,No,25,60,E1,28.57,28.57,0,No,No,Male,Direct,3,ERS,Noida,31,0
4755,2483180,No,1,60,E1,46.2,46.2,0,No,No,Male,Direct,3,ERS,Chennai,27,0
4757,2483190,No,20,30,E1,18.18,0,-15.38,No,No,Male,Direct,2,ERS,Chennai,27,0
4765,2483248,No,1,60,E1,10.09,21.1,10,No,No,Female,Direct,4,ERS,Chennai,27,0
4767,2483264,No,5,90,E1,55.56,44.44,-7.14,No,No,Male,Direct,3,ETS,Noida,25,0
4778,2483309,No,89,30,E1,20,20,0,No,No,Male,Direct,3,BFSI,Chennai,29,0
4780,2483316,No,124,30,E1,59.09,59.09,0,No,No,Male,Direct,3,BFSI,Chennai,27,0
4782,2483337,No,88,90,E1,11.61,-10.71,-20,No,No,Female,Direct,4,BFSI,Chennai,31,0
4784,2483346,No,9,30,E1,61.87,51.08,-6.67,No,No,Female,Agency,4,BFSI,Chennai,26,0
4786,2483353,Yes,75,30,E2,4.17,4.17,0,No,No,Male,Direct,4,INFRA,Noida,27,0
4791,2483394,No,4,30,E1,46.2,36.45,-6.67,No,No,Male,Direct,5,BFSI,Chennai,28,0
4802,2483522,Yes,7,30,E1,33.33,31.67,-1.25,No,No,Male,Direct,6,ETS,Bangalore,37,0
4811,2483573,No,1,30,E2,37.5,42.5,3.64,No,No,Male,Direct,3,INFRA,Bangalore,26,0
4822,2483689,Yes,90,90,E1,66.67,66.67,0,No,No,Male,Direct,3,ETS,Bangalore,27,0
4843,2485590,No,3,45,E1,32.56,32.56,0,No,No,Male,Agency,4,CSMP,Kolkata,30,0
4845,2485629,Yes,14,30,E1,55.56,44.44,-7.14,No,No,Male,Direct,3,EAS,Bangalore,26,0
4848,2485659,Yes,81,30,E2,11.11,22.22,10,No,No,Male,Direct,7,EAS,Hyderabad,29,0
4853,2485782,Yes,6,30,E1,54.19,54.19,0,No,No,Male,Direct,5,ETS,Hyderabad,28,0
4862,2486553,Yes,43,45,E2,25.33,25.33,0,No,No,Female,Direct,7,CSMP,Hyderabad,33,0
4864,2533887,No,7,60,E1,46.44,30.75,-10.71,No,No,Male,Agency,3,ERS,Chennai,31,0
4871,2533967,Yes,2,45,E1,53.63,46.65,-4.55,No,No,Male,Agency,4,CSMP,Kolkata,27,0
4877,2534111,No,43,90,E2,34.15,29.27,-3.64,No,No,Male,Direct,4,AXON,Noida,29,0
4893,2534568,Yes,48,60,E1,63.27,36.73,-16.25,No,No,Male,Agency,3,EAS,Bangalore,26,0
4894,2534580,No,6,60,E1,66.67,38.89,-16.67,No,No,Male,Employee Referral,4,BFSI,Chennai,29,0
4895,2534581,No,88,45,E1,25,21.67,-2.67,No,No,Male,Direct,4,EAS,Chennai,26,0
4896,2534593,Yes,11,30,E2,42.86,42.86,0,No,No,Male,Direct,6,EAS,Hyderabad,32,0
4897,2534617,No,74,30,E1,39.17,31.21,-5.71,No,No,Male,Agency,4,ERS,Chennai,28,0
4906,2534813,Yes,27,60,E3,5.26,26.32,20,No,No,Male,Direct,6,INFRA,Bangalore,33,0
4917,2535951,No,3,90,E1,16.67,16.67,0,No,No,Male,Employee Referral,3,AXON,Noida,26,0
4918,2535957,No,4,90,E2,53.4,42.86,-6.88,No,No,Male,Employee Referral,6,INFRA,Noida,32,0
4934,2538058,Yes,1,30,E3,26.32,41.05,11.67,No,No,Male,Agency,9,INFRA,Bangalore,36,0
4949,2538473,Yes,26,60,E1,33.33,33.33,0,No,No,Male,Direct,6,ETS,Gurgaon,31,0
4965,2544105,Yes,65,90,E1,60.38,50.94,-5.88,No,No,Male,Direct,3,EAS,Hyderabad,27,0
4974,2544491,No,2,30,E2,37.12,37.12,0,No,No,Male,Agency,6,INFRA,Gurgaon,31,0
4984,2544626,Yes,56,30,E1,22.22,22.22,0,No,No,Male,Direct,4,BFSI,Bangalore,30,0
4989,2544631,No,1,30,E1,44.74,44.74,0,No,No,Male,Direct,3,BFSI,Bangalore,27,0
5002,2544952,No,44,45,E1,33.33,6.41,-20.19,No,No,Male,Agency,3,BFSI,Chennai,25,0
5011,2545117,No,53,30,E1,45.83,25,-14.29,No,No,Female,Direct,4,ERS,Chennai,29,0
5013,2545129,No,2,30,E1,80,80,0,No,No,Male,Direct,3,ERS,Chennai,28,0
5020,2545258,Yes,5,60,E2,28.57,28.57,0,No,No,Male,Direct,3,INFRA,Chennai,27,0
5022,2545265,Yes,33,30,E1,21.74,5.22,-13.57,No,No,Male,Direct,3,BFSI,Bangalore,27,0
5023,2545289,Yes,74,30,E1,41.09,41.09,0,No,No,Male,Direct,5,ERS,Chennai,27,0
5024,2545321,No,1,30,E1,114.29,114.29,0,Yes,No,Male,Employee Referral,4,ETS,Chennai,28,0
5034,2549428,Yes,4,60,E1,50,50,0,No,No,Male,Direct,3,BFSI,Bangalore,26,0
5035,2549445,No,9,90,E2,32.94,32.94,0,No,No,Male,Agency,6,BFSI,Gurgaon,30,0
5059,2552163,No,81,30,E1,86.72,61.83,-13.33,No,No,Male,Employee Referral,2,ERS,Chennai,24,0
5063,2552236,No,26,30,E1,44.33,34.02,-7.14,No,No,Male,Direct,3,ERS,Bangalore,28,0
5073,2552552,No,4,60,E1,7.58,7.58,0,No,No,Male,Direct,3,ERS,Chennai,26,0
5081,2556150,No,3,60,E1,82.93,82.93,0,No,No,Male,Direct,3,ETS,Bangalore,26,0
5083,2556167,Yes,5,30,E1,29.63,-7.41,-28.57,No,No,Male,Agency,1,INFRA,Noida,25,0
5087,2556202,Yes,4,45,E2,39.71,35.29,-3.16,No,No,Male,Agency,6,ERS,Chennai,29,0
5097,2556311,Yes,72,30,E1,45.45,95.45,34.38,No,No,Male,Direct,3,ERS,Chennai,25,0
5100,2556331,No,5,30,E1,85.71,64.29,-11.54,No,No,Female,Agency,3,ERS,Bangalore,26,0
5102,2556338,No,20,90,E1,83.49,60.55,-12.5,No,No,Male,Agency,5,ERS,Hyderabad,32,0
5115,2556407,No,4,45,E1,40.63,50,6.67,No,No,Male,Direct,3,ERS,Noida,26,0
5116,2556416,Yes,76,30,E1,41.67,35.42,-4.41,No,No,Male,Agency,3,ERS,Bangalore,29,0
5126,2556551,No,59,60,E2,44.78,18.66,-18.04,Yes,No,Male,Direct,9,INFRA,Chennai,29,0
5131,2556615,No,47,60,E3,34.23,32.55,-1.25,No,No,Male,Direct,8,INFRA,Chennai,34,0
5152,2560519,No,25,60,E1,18.18,63.64,38.46,No,No,Male,Agency,4,ERS,Noida,27,0
5155,2560669,Yes,13,30,E2,45.35,41.72,-2.5,No,No,Female,Employee Referral,5,EAS,Chennai,30,0
5162,2560768,Yes,14,60,E1,76.67,76.67,0,No,No,Male,Direct,2,ETS,Noida,27,0
5182,2560978,No,6,30,E1,38.89,38.89,0,No,No,Male,Direct,3,BFSI,Chennai,30,0
5185,2561031,No,3,30,E1,61.54,61.54,0,No,No,Male,Direct,3,BFSI,Chennai,28,0
5191,2561172,No,6,90,E1,53.51,42.54,-7.14,No,No,Male,Agency,3,ERS,Bangalore,27,0
5201,2561561,No,80,30,E1,21.95,21.95,0,No,No,Male,Direct,3,BFSI,Chennai,28,0
5211,2564055,No,4,30,E1,50,50,0,No,No,Male,Employee Referral,2,CSMP,Kolkata,28,0
5221,2564803,Yes,101,90,E1,59.09,47.73,-7.14,No,No,Male,Agency,3,ERS,Chennai,28,0
5224,2564890,Yes,32,60,E1,60.92,49.43,-7.14,No,No,Male,Direct,4,BFSI,Bangalore,27,0
5225,2564898,Yes,18,60,E1,22.22,122.22,81.82,No,No,Female,Agency,5,ERS,Noida,28,0
5228,2564948,No,49,30,E2,9.09,23.64,13.33,No,No,Male,Agency,8,ERS,Chennai,36,0
5229,2564988,No,10,30,E1,66.67,93.33,16,No,No,Male,Agency,3,INFRA,Noida,24,0
5230,2565018,No,25,30,E1,50.86,58.05,4.76,No,No,Male,Employee Referral,5,BFSI,Chennai,32,0
5233,2565039,No,13,90,E2,46.01,46.01,0,No,No,Male,Direct,6,BFSI,Mumbai,28,0
5237,2565104,Yes,62,60,E2,46.15,43.08,-2.11,No,No,Male,Agency,6,ERS,Noida,32,0
5244,2565194,No,62,90,E1,58.73,19.05,-25,No,No,Male,Agency,3,ERS,Bangalore,25,0
5270,2565599,Yes,2,30,E1,50,-13.33,-42.22,No,No,Male,Direct,1,INFRA,Noida,25,0
5287,2568935,No,1,60,E1,52.17,52.17,0,No,No,Male,Direct,4,ETS,Bangalore,26,0
5290,2569149,No,2,60,E1,22.22,16.67,-4.55,No,No,Female,Agency,3,ERS,Noida,26,0
5304,2569427,Yes,24,30,E1,46.46,26.26,-13.79,No,No,Male,Direct,3,CSMP,Noida,25,0
5328,2575909,No,12,60,E2,50,62.5,8.33,No,No,Male,Agency,6,ERS,Noida,31,0
5333,2576091,No,66,90,E2,42.86,28.57,-10,No,No,Female,Direct,7,BFSI,Bangalore,30,0
5348,2577380,No,8,45,E2,31.25,37.5,4.76,No,No,Male,Direct,8,BFSI,Gurgaon,30,0
5355,2578697,No,77,90,E2,33.33,0.44,-24.67,No,No,Male,Direct,10,BFSI,Chennai,32,0
5357,2578713,Yes,3,90,E1,83.33,50,-18.18,No,No,Male,Direct,4,BFSI,Chennai,28,0
5365,2578778,Yes,1,90,E2,43.94,25,-13.16,No,No,Male,Agency,5,ERS,Chennai,31,0
5368,2578802,Yes,101,30,E2,36,34.4,-1.18,No,No,Male,Agency,6,ERS,Chennai,30,0
5370,2578815,Yes,44,30,E2,11.11,11.11,0,No,No,Female,Direct,5,Healthcare,Chennai,29,1
5371,2578835,No,1,60,E2,42.86,42.86,0,No,No,Male,Employee Referral,3,INFRA,Noida,27,1
5372,2578836,Yes,1,30,E2,66.67,94.44,16.67,No,No,Male,Employee Referral,1,INFRA,Noida,24,1
5373,2578841,No,74,30,E2,37.25,27.45,-7.14,No,No,Male,Direct,10,BFSI,Chennai,33,1
5375,2578864,No,0,45,E2,39.03,50.09,7.95,No,No,Male,Agency,8,INFRA,Noida,35,0
5376,2578870,Yes,0,60,E1,95.65,95.65,0,No,No,Male,Agency,3,ERS,Chennai,24,0
5377,2578912,Yes,16,60,E1,84.21,71.05,-7.14,No,No,Female,Direct,3,ERS,Chennai,25,0
5378,2578919,No,0,60,E1,0,-20,-20,No,No,Male,Agency,5,ERS,Bangalore,27,1
5379,2578921,Yes,8,30,E1,9.09,22.47,12.27,No,No,Male,Direct,3,INFRA,Bangalore,29,1
5381,2578933,No,81,75,E1,0,-28,-28,No,No,Male,Agency,2,ERS,Bangalore,24,0
5382,2578951,No,0,60,E2,21.88,28.75,5.64,Yes,No,Male,Direct,5,INFRA,Bangalore,31,0
5383,2578956,No,4,30,E2,27.36,22.64,-3.7,No,No,Male,Direct,9,BFSI,Bangalore,33,1
5384,2578992,Yes,47,60,E2,31.82,4.55,-20.69,No,Yes,Male,Employee Referral,8,ERS,Noida,32,1
5385,2579017,Yes,19,60,E1,45.45,34.91,-7.25,No,No,Male,Direct,5,AXON,Kolkata,34,0
5386,2579022,No,3,30,E2,30,-16,-35.38,No,No,Male,Agency,4,INFRA,Bangalore,31,1
5387,2579041,Yes,0,30,E1,42.86,42.86,0,No,No,Male,Direct,3,ETS,Bangalore,27,1
5388,2579062,No,1,30,E1,98.78,46.79,-26.15,No,No,Male,Agency,4,ERS,Chennai,26,1
5389,2579070,Yes,9,30,E1,40,40,0,No,No,Male,Direct,4,CSMP,Noida,29,1
5390,2579115,No,11,75,E1,40.19,34.35,-4.17,No,No,Male,Employee Referral,3,ERS,Bangalore,28,0
5393,2579161,Yes,1,30,E2,53.06,42.86,-6.67,No,No,Male,Direct,9,BFSI,Bangalore,35,1
5395,2579234,Yes,94,90,E3,19.11,19.11,0,No,No,Male,Agency,6,INFRA,Noida,31,0
5397,2579299,No,1,60,E2,66.67,69.44,1.67,No,No,Male,Direct,5,INFRA,Noida,34,1
5398,2579336,No,0,30,E1,20.69,3.45,-14.29,No,No,Male,Direct,3,INFRA,Noida,27,0
5399,2579443,No,0,30,E1,20,10,-8.33,No,No,Female,Employee Referral,1,INFRA,Bangalore,24,0
5400,2579455,No,3,30,E1,56.25,50,-4,No,No,Male,Direct,3,BFSI,Bangalore,27,1
5401,2579497,No,3,30,E1,166.67,175,3.13,No,No,Female,Direct,2,CSMP,Noida,25,1
5403,2581365,No,2,30,E1,136.11,88.89,-20,No,No,Female,Direct,2,CSMP,Noida,26,1
5404,2586006,Yes,68,30,E1,50,65,10,No,No,Female,Agency,2,INFRA,Bangalore,26,1
5405,2586011,Yes,27,30,E1,32.28,42.86,8,No,No,Female,Agency,1,INFRA,Noida,24,1
5406,2586081,No,17,60,E1,73.08,59.62,-7.78,No,No,Male,Direct,2,CSMP,Noida,25,0
5407,2586102,Yes,56,30,E1,33.33,22.22,-8.33,No,No,Male,Direct,4,EAS,Chennai,29,0
5408,2586154,Yes,36,30,E1,27.78,16.67,-8.7,No,No,Male,Agency,2,ERS,Chennai,24,1
5409,2586208,Yes,68,60,E2,52.94,32.35,-13.46,No,No,Male,Direct,9,INFRA,Noida,35,1
5410,2586214,Yes,63,45,E1,14.29,14.29,0,No,No,Male,Direct,5,EAS,Chennai,37,1
5411,2586307,Yes,62,45,E1,54.76,50,-3.08,No,No,Female,Direct,3,EAS,Bangalore,29,0
5412,2586309,No,1,30,E1,109.21,44.35,-31,No,No,Male,Agency,5,ERS,Bangalore,28,1
5413,2586324,No,15,30,E1,40,40,0,No,No,Male,Employee Referral,10,ERS,Chennai,34,1
5414,2586385,No,3,60,E2,32.65,32.65,0,No,No,Male,Direct,8,EAS,Noida,31,0
5415,2586400,Yes,104,30,E1,96.23,69.06,-13.85,No,Yes,Male,Direct,4,ERS,Chennai,29,1
5416,2586408,Yes,28,30,E2,33.33,26,-5.5,No,No,Male,Employee Referral,8,ERS,Chennai,31,1
5417,2586409,No,3,30,E2,66.67,93.33,16,No,No,Male,Direct,4,INFRA,Chennai,27,1
5418,2586427,Yes,96,90,E3,30,26.76,-2.49,No,No,Male,Direct,4,INFRA,Chennai,38,1
5419,2586460,Yes,6,30,E1,20,20,0,No,No,Male,Direct,1,INFRA,Gurgaon,27,1
5420,2586471,No,4,90,E3,38.25,38.25,0,No,No,Male,Agency,7,INFRA,Bangalore,43,1
5421,2586502,No,35,45,E2,30,21.74,-6.35,No,No,Male,Direct,10,BFSI,Bangalore,33,1
5424,2586549,Yes,5,30,E2,26.29,26.29,0,No,No,Female,Direct,7,BFSI,Mumbai,31,1
5425,2586557,No,0,30,E1,31.25,9.38,-16.67,No,No,Male,Agency,3,BFSI,Chennai,25,1
5427,2586575,No,3,30,E1,39.53,16.28,-16.67,No,No,Male,Agency,3,BFSI,Chennai,33,1
5429,2586591,No,51,30,E2,27.95,13.19,-11.54,No,No,Male,Agency,10,BFSI,Chennai,34,1
5430,2586598,No,11,30,E1,15.79,-7.89,-20.45,No,No,Male,Agency,3,BFSI,Chennai,29,0
5431,2586603,Yes,74,60,E1,54.29,42.86,-7.41,No,No,Male,Agency,3,ERS,Chennai,26,0
5432,2586620,Yes,1,30,E2,48.65,44.59,-2.73,No,No,Male,Direct,7,ETS,Hyderabad,30,1
5433,2586622,No,18,30,E1,50,94.44,29.63,No,No,Male,Agency,3,BFSI,Chennai,31,1
5434,2586624,No,1,30,E1,20,32,10,No,No,Male,Agency,2,INFRA,Noida,24,0
5435,2586631,No,93,30,E1,23.87,0.23,-19.09,No,No,Male,Agency,3,BFSI,Chennai,31,0
5436,2586639,Yes,24,30,E1,50,30,-13.33,No,No,Male,Direct,1,INFRA,Chennai,24,1
5437,2586648,Yes,14,90,E2,37.93,29.31,-6.25,No,No,Female,Direct,8,ETS,Hyderabad,36,1
5438,2586657,No,1,30,E1,33.33,16.67,-12.5,No,No,Male,Agency,4,BFSI,Chennai,25,1
5439,2586665,No,61,60,E2,28.38,2.7,-20,No,No,Male,Agency,5,BFSI,Chennai,33,0
5440,2586668,No,48,30,E1,51.52,21.21,-20,No,No,Male,Agency,8,BFSI,Chennai,32,1
5441,2586683,No,2,30,E1,26.32,10.53,-12.5,No,No,Male,Agency,3,BFSI,Chennai,26,1
5442,2586696,Yes,60,30,E1,28.57,26.19,-1.85,No,No,Male,Agency,4,ERS,Bangalore,26,1
5443,2586718,No,50,30,E1,33.33,16.67,-12.5,No,No,Male,Agency,3,BFSI,Chennai,28,1
5445,2586754,No,11,60,E1,35.14,17.12,-13.33,No,No,Male,Agency,3,BFSI,Chennai,27,0
5449,2586825,No,0,90,E1,42.86,42.86,0,No,No,Male,Direct,1,INFRA,Noida,28,1
5450,2586841,No,22,30,E1,31.25,31.25,0,No,Yes,Male,Agency,3,BFSI,Chennai,30,1
5451,2586915,No,62,90,E1,0,-40,-40,No,Yes,Male,Agency,3,ERS,Chennai,25,1
5452,2586924,No,56,60,E1,50,40,-6.67,No,No,Male,Agency,2,ERS,Chennai,24,1
5453,2586930,No,1,30,E1,0,-20,-20,No,No,Male,Agency,5,ERS,Chennai,27,1
5454,2586944,Yes,63,30,E1,80,80,0,No,Yes,Male,Agency,3,ERS,Chennai,26,1
5455,2586949,Yes,55,30,E2,42.86,42.86,0,No,No,Male,Direct,3,INFRA,Noida,24,1
5456,2586962,Yes,25,30,E1,0,0,0,No,No,Male,Agency,7,ERS,Chennai,27,1
5457,2586975,No,1,30,E1,0,-30,-30,No,No,Male,Agency,3,ERS,Chennai,25,0
5458,2586985,No,16,30,E1,0,-34,-34,No,No,Male,Employee Referral,2,ERS,Chennai,25,1
5459,2586994,No,3,30,E1,96.08,61.76,-17.5,No,No,Male,Agency,2,ERS,Chennai,24,1
5460,2587064,No,2,30,E1,11.11,11.11,0,No,No,Female,Direct,7,ERS,Chennai,38,0
5461,2587076,Yes,0,90,E3,13.43,24.08,9.39,No,No,Male,Direct,9,INFRA,Hyderabad,33,1
5462,2587182,Yes,5,30,E2,14.29,28.57,12.5,No,No,Male,Employee Referral,7,CSMP,Kolkata,49,1
5463,2587188,No,0,30,E1,30,30,0,No,No,Female,Employee Referral,4,ETS,Chennai,29,1
5464,2587207,Yes,54,60,E2,65.39,65.39,0,No,No,Male,Employee Referral,6,ETS,Chennai,29,1
5465,2587224,Yes,77,30,E1,29.63,29.63,0,No,Yes,Female,Direct,3,ERS,Chennai,25,1
5467,2587252,Yes,92,90,E1,76.63,63.04,-7.69,No,Yes,Male,Direct,3,EAS,Hyderabad,28,1
5468,2587371,Yes,1,60,E2,42.86,42.86,0,No,No,Male,Direct,3,INFRA,Noida,27,1
5469,2587504,Yes,57,90,E2,26.33,26.33,0,No,No,Male,Employee Referral,7,INFRA,Noida,30,1
5470,2588084,Yes,35,90,E3,49.05,49.05,0,No,No,Female,Employee Referral,8,INFRA,Noida,47,1
5471,2588287,Yes,60,60,E2,16.28,10.47,-5,No,No,Male,Employee Referral,6,ETS,Hyderabad,31,1
5473,2589984,No,0,90,E1,55.56,55.56,0,Yes,Yes,Male,Direct,5,AXON,Noida,27,1
5474,2590018,Yes,33,60,E1,50,41.67,-5.56,No,No,Female,Direct,4,AXON,Bangalore,26,1
5475,2590118,No,1,30,E1,33.33,37.78,3.33,No,No,Male,Employee Referral,6,CSMP,Noida,31,1
5476,2590137,No,11,60,E1,34.92,4.76,-22.35,No,No,Male,Agency,4,ERS,Noida,29,0
5477,2590149,Yes,77,75,E1,75.68,62.16,-7.69,No,No,Male,Agency,3,ERS,Bangalore,26,0
5478,2590152,Yes,101,90,E1,44.51,15.61,-20,No,No,Male,Agency,3,ERS,Bangalore,25,0
5479,2590155,Yes,77,90,E1,66.67,48.72,-10.77,No,Yes,Male,Agency,3,ERS,Bangalore,25,1
5480,2590158,Yes,77,90,E1,73.33,46.67,-15.38,No,No,Male,Agency,3,ERS,Bangalore,25,0
5481,2590164,Yes,94,90,E1,44.51,19.27,-17.47,No,No,Male,Agency,3,ERS,Bangalore,30,0
5482,2590175,Yes,101,90,E1,58.73,45.5,-8.33,No,Yes,Male,Agency,4,ERS,Bangalore,26,1
5483,2590202,Yes,8,60,E2,59.57,41.84,-11.11,No,No,Male,Agency,6,ERS,Bangalore,33,0
5484,2590216,No,13,60,E2,37.61,26.15,-8.33,No,No,Male,Agency,8,BFSI,Bangalore,31,0
5485,2590277,Yes,7,30,E1,25,21,-3.2,No,No,Male,Agency,5,ERS,Chennai,35,1
5487,2590315,Yes,60,45,E2,22.22,77.78,45.45,No,No,Male,Agency,6,ERS,Noida,29,0
5489,2590369,Yes,9,30,E2,41.18,41.18,0,No,No,Male,Direct,6,BFSI,Mumbai,32,1
5490,2590371,No,25,30,E2,11.11,16.67,5,No,No,Male,Agency,9,ERS,Chennai,32,1
5491,2590396,Yes,3,60,E1,41.18,45.88,3.33,No,No,Male,Direct,3,ERS,Chennai,29,0
5492,2590405,Yes,39,30,E2,29.07,29.07,0,No,No,Male,Agency,2,INFRA,Noida,27,0
5493,2590438,No,0,90,E2,35.71,35.72,0,No,Yes,Male,Employee Referral,4,INFRA,Noida,28,1
5494,2590499,No,1,90,E2,36.36,36.36,0,No,No,Male,Direct,7,INFRA,Noida,32,1
5495,2590505,Yes,5,30,E1,30,30,0,No,No,Male,Direct,3,EAS,Hyderabad,25,0
5496,2590532,No,5,30,E1,22.22,85.53,51.8,No,No,Male,Agency,5,ERS,Hyderabad,31,1
5497,2590541,No,32,30,E1,38.89,38.89,0,No,No,Male,Agency,4,BFSI,Bangalore,28,1
5498,2590556,No,28,60,E2,25,41.88,13.51,No,No,Male,Direct,6,BFSI,Pune,29,1
5499,2590566,Yes,63,60,E1,70,37.68,-19.01,No,No,Female,Direct,2,EAS,Chennai,25,1
5500,2590681,No,3,30,E2,66.67,28.79,-22.73,No,No,Male,Direct,5,INFRA,Noida,29,1
5501,2590707,Yes,34,30,E3,60,53.33,-4.17,No,No,Male,Direct,7,INFRA,Noida,33,1
5502,2590749,Yes,60,30,E1,130.08,42.11,-38.24,No,No,Male,Agency,3,ERS,Chennai,27,0
5503,2590754,Yes,33,60,E2,22.22,177.78,127.27,No,Yes,Male,Agency,6,ERS,Noida,31,1
5504,2590763,No,1,30,E2,47.06,47.06,0,No,No,Male,Employee Referral,3,INFRA,Noida,28,0
5505,2590784,No,1,30,E2,25,23.13,-1.5,No,No,Male,Direct,7,CSMP,Noida,27,1
5506,2590831,Yes,7,60,E1,50.86,50.86,0,No,No,Male,Agency,4,BFSI,Bangalore,30,1
5507,2590916,No,2,30,E1,45.83,45.83,0,No,No,Male,Direct,5,INFRA,Kolkata,28,1
5508,2590917,Yes,2,30,E1,100,83.33,-8.33,No,No,Male,Direct,3,ERS,Chennai,26,0
5509,2590919,Yes,45,30,E1,23.08,28.21,4.17,No,No,Male,Agency,3,BFSI,Bangalore,26,1
5510,2590937,No,0,30,E1,33.33,0,-25,No,No,Male,Direct,1,INFRA,Ahmedabad,22,1
5511,2590961,Yes,67,60,E3,20,32,10,Yes,Yes,Male,Agency,8,ETS,Bangalore,33,1
5512,2590980,Yes,48,30,E1,30,31.58,1.21,No,No,Male,Direct,4,BFSI,Bangalore,30,1
5513,2591008,Yes,1,30,E1,44.74,38.16,-4.55,No,No,Male,Agency,3,ERS,Chennai,28,1
5514,2591059,No,0,60,E2,40,45.58,3.99,No,No,Male,Direct,4,INFRA,Chennai,31,1
5515,2591088,Yes,91,90,E2,19.57,28.26,7.27,No,No,Male,Direct,15,AXON,Kolkata,42,1
5516,2591173,Yes,48,30,E1,46.4,35.14,-7.69,No,No,Male,Direct,3,ERS,Chennai,31,1
5518,2591211,Yes,24,30,E2,50,50,0,No,No,Female,Direct,3,INFRA,Noida,41,1
5519,2591215,No,1,30,E1,63.04,57.61,-3.33,No,No,Male,Direct,5,ETS,Noida,35,1
5520,2591248,Yes,54,30,E1,42.86,42.86,0,No,No,Female,Direct,3,BFSI,Bangalore,27,1
5521,2591249,No,36,30,E1,25,25,0,No,No,Male,Direct,3,BFSI,Bangalore,27,1
5522,2591250,No,20,30,E1,31.58,18.42,-10,No,No,Female,Direct,3,BFSI,Bangalore,26,1
5524,2591254,No,1,30,E1,50,50,0,No,No,Female,Direct,3,BFSI,Bangalore,25,1
5526,2591257,No,4,30,E1,40.63,40.63,0,No,No,Female,Direct,3,BFSI,Bangalore,26,1
5528,2591271,Yes,68,30,E3,23.29,16.04,-5.88,No,No,Male,Agency,11,INFRA,Chennai,35,1
5530,2591447,Yes,2,30,E1,117.39,108.7,-4,No,No,Male,Agency,6,ERS,Bangalore,32,1
5532,2591566,No,0,30,E2,42.86,42.86,0,No,No,Male,Direct,3,INFRA,Noida,28,1
5533,2591607,No,0,30,E2,42.86,42.86,0,No,No,Male,Direct,4,INFRA,Noida,30,1
